Sports,Wii Sports,Wii,Generally allows the player to partake in a competitive sport against other opponents or AI
Racing,Mario Kart Wii,Wii,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Sports,Wii Sports Resort,Wii,Generally allows the player to partake in a competitive sport against other opponents or AI
Platform,New Super Mario Bros.,DS,Games focused on navigating an environment usually by jumping
Misc,Wii Play,Wii,Games without specific genres
Platform,New Super Mario Bros. Wii,Wii,Games focused on navigating an environment usually by jumping
Racing,Mario Kart DS,DS,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Sports,Wii Fit,Wii,Generally allows the player to partake in a competitive sport against other opponents or AI
Misc,Kinect Adventures!,X360,Games without specific genres
Sports,Wii Fit Plus,Wii,Generally allows the player to partake in a competitive sport against other opponents or AI
Action,Grand Theft Auto V,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Grand Theft Auto: San Andreas,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Misc,Brain Age: Train Your Brain in Minutes a Day,DS,Games without specific genres
Action,Grand Theft Auto V,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Grand Theft Auto: Vice City,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Puzzle,Brain Age 2: More Training in Minutes a Day,DS,Games that challenge the player to use critical thinking skills to solve problems
Racing,Gran Turismo 3: A-Spec,PS2,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Shooter,Call of Duty: Modern Warfare 3,X360,Typically violent games where players use ranged weapons
Shooter,Call of Duty: Black Ops,X360,Typically violent games where players use ranged weapons
Shooter,Call of Duty: Black Ops II,PS3,Typically violent games where players use ranged weapons
Shooter,Call of Duty: Black Ops II,X360,Typically violent games where players use ranged weapons
Shooter,Call of Duty: Modern Warfare 2,X360,Typically violent games where players use ranged weapons
Shooter,Call of Duty: Modern Warfare 3,PS3,Typically violent games where players use ranged weapons
Action,Grand Theft Auto III,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Fighting,Super Smash Bros. Brawl,Wii,Usually one-on-one close-ranged games with violent attacks
Racing,Mario Kart 7,3DS,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Shooter,Call of Duty: Black Ops,PS3,Typically violent games where players use ranged weapons
Action,Grand Theft Auto V,PS4,Games usually centered around using hand-eye coordination to overcome physical challenges
Simulation,Animal Crossing: Wild World,DS,Frequently consists of games focused on letting the player simulate a reality - real or fake
Shooter,Halo 3,X360,Typically violent games where players use ranged weapons
Racing,Gran Turismo 4,PS2,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Platform,Super Mario Galaxy,Wii,Games focused on navigating an environment usually by jumping
Action,Grand Theft Auto IV,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Racing,Gran Turismo,PS,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Platform,Super Mario 3D Land,3DS,Games focused on navigating an environment usually by jumping
Racing,Gran Turismo 5,PS3,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Shooter,Call of Duty: Modern Warfare 2,PS3,Typically violent games where players use ranged weapons
Action,Grand Theft Auto IV,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Call of Duty: Ghosts,X360,Typically violent games where players use ranged weapons
Misc,Just Dance 3,Wii,Games without specific genres
Platform,New Super Mario Bros. 2,3DS,Games focused on navigating an environment usually by jumping
Shooter,Halo: Reach,X360,Typically violent games where players use ranged weapons
Role-Playing,Final Fantasy VII,PS,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Shooter,Halo 4,X360,Typically violent games where players use ranged weapons
Racing,Gran Turismo 2,PS,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Misc,Just Dance 2,Wii,Games without specific genres
