Wii Sports,Wii,2006,Nintendo,Sports,E,36.44
Mario Kart Wii,Wii,2008,Nintendo,Racing,E,10.01
Wii Sports Resort,Wii,2009,Nintendo,Sports,E,40.11
New Super Mario Bros.,DS,2006,Nintendo,Platform,E,36.84
Wii Play,Wii,2006,Nintendo,Misc,E,30.13
New Super Mario Bros. Wii,Wii,2009,Nintendo,Platform,E,28.73
Mario Kart DS,DS,2005,Nintendo,Racing,E,16.38
Wii Fit,Wii,2007,Nintendo,Sports,E,46.7
Kinect Adventures!,X360,2010,Good Science Studio,Misc,E,31.14
Wii Fit Plus,Wii,2009,Nintendo,Sports,E,22.88
Grand Theft Auto V,PS3,2013,Rockstar North,Action,M,16.79
Grand Theft Auto: San Andreas,PS2,2004,Rockstar North,Action,M,49
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Nintendo,Misc,E,47.79
Grand Theft Auto V,X360,2013,Rockstar North,Action,M,37.97
Grand Theft Auto: Vice City,PS2,2002,Rockstar North,Action,M,44.43
Brain Age 2: More Training in Minutes a Day,DS,2005,Nintendo,Puzzle,E,25.18
Gran Turismo 3: A-Spec,PS2,2001,Polyphony Digital,Racing,E,48.94
Call of Duty: Modern Warfare 3,X360,2011,Infinity Ward/Sledgehammer Games,Shooter,M,10.87
Call of Duty: Black Ops,X360,2010,Treyarch,Shooter,M,54.33
Call of Duty: Black Ops II,PS3,2012,Treyarch,Shooter,M,41.3
Call of Duty: Black Ops II,X360,2012,Treyarch,Shooter,M,31.84
Call of Duty: Modern Warfare 2,X360,2009,Infinity Ward,Shooter,M,19.26
Call of Duty: Modern Warfare 3,PS3,2011,Infinity Ward/Sledgehammer Games,Shooter,M,55.47
Grand Theft Auto III,PS2,2001,DMA Design,Action,M,53.57
Super Smash Bros. Brawl,Wii,2008,Game Arts,Fighting,T,17.79
Mario Kart 7,3DS,2011,Retro Studios/Entertainment Analysis & Development Division,Racing,E,33.21
Call of Duty: Black Ops,PS3,2010,Treyarch,Shooter,M,23.01
Grand Theft Auto V,PS4,2014,Rockstar North,Action,M,45.62
Animal Crossing: Wild World,DS,2005,Nintendo,Simulation,E,48.15
Halo 3,X360,2007,Bungie Software/Bungie,Shooter,M,19.03
Gran Turismo 4,PS2,2004,Polyphony Digital,Racing,E,16.35
Super Mario Galaxy,Wii,2007,Nintendo,Platform,E,50.55
Grand Theft Auto IV,X360,2008,Rockstar North,Action,M,41.47
Gran Turismo,PS,1997,Polyphony Digital,Racing,E,50.72
Super Mario 3D Land,3DS,2011,Nintendo,Platform,E,30.17
Gran Turismo 5,PS3,2010,Polyphony Digital,Racing,E,35.63
Call of Duty: Modern Warfare 2,PS3,2009,Infinity Ward,Shooter,M,19.34
Grand Theft Auto IV,PS3,2008,Rockstar North,Action,M,19.31
Call of Duty: Ghosts,X360,2013,Infinity Ward,Shooter,M,35.31
Just Dance 3,Wii,2011,Ubisoft,Misc,E10+,55.4
New Super Mario Bros. 2,3DS,2012,Nintendo,Platform,E,22.36
Halo: Reach,X360,2010,Bungie,Shooter,M,16.89
Final Fantasy VII,PS,1997,SquareSoft,Role-Playing,T,43.29
Halo 4,X360,2012,343 Industries,Shooter,M,22.1
Gran Turismo 2,PS,1999,Polyphony Digital,Racing,T,10.87
Just Dance 2,Wii,2010,Ubisoft,Misc,E10+,51.58
Call of Duty: Ghosts,PS3,2013,Infinity Ward,Shooter,M,44.59
Call of Duty 4: Modern Warfare,X360,2007,Infinity Ward,Shooter,M,57.87
Animal Crossing: New Leaf,3DS,2012,Nintendo,Simulation,E,49.2
Mario Party DS,DS,2007,Hudson Soft,Misc,E,16.28
The Elder Scrolls V: Skyrim,X360,2011,Bethesda Game Studios,Role-Playing,M,11.78
FIFA 16,PS4,2015,EA Sports,Sports,E,12.35
Halo 2,XB,2004,Bungie Software,Shooter,M,21.23
Wii Party,Wii,2010,Nd Cube,Misc,E,51.5
Mario Party 8,Wii,2007,Hudson,Misc,E,21.51
FIFA Soccer 13,PS3,2012,Electronic Arts,Action,E,53.73
Final Fantasy X,PS2,2001,SquareSoft,Role-Playing,T,59.21
The Sims 3,PC,2009,The Sims Studio,Simulation,T,24.87
Final Fantasy VIII,PS,1999,SquareSoft,Role-Playing,T,27.47
Pokémon Platinum Version,DS,2008,Game Freak,Role-Playing,E,48.78
Grand Theft Auto: Liberty City Stories,PSP,2005,Rockstar Leeds,Action,M,43.86
Call of Duty: Advanced Warfare,PS4,2014,Sledgehammer Games,Shooter,M,21.3
FIFA 17,PS4,2016,EA Sports/EA Vancouver,Sports,E,10.89
Super Mario Galaxy 2,Wii,2010,Nintendo EAD Tokyo,Platform,E,16.44
Call of Duty: World at War,X360,2008,Treyarch,Shooter,M,51.82
Battlefield 3,X360,2011,EA DICE,Shooter,M,47.57
Need for Speed Underground,PS2,2003,EA Black Box,Racing,E,25.7
Just Dance,Wii,2009,Ubisoft Paris,Misc,E10+,36.09
Battlefield 3,PS3,2011,EA DICE,Shooter,M,19.17
Fallout 4,PS4,2015,Bethesda Game Studios,Role-Playing,M,49.97
Tekken 3,PS,1998,Namco,Fighting,T,58.31
The Legend of Zelda: Twilight Princess,Wii,2006,Nintendo,Action,T,26.83
Crash Bandicoot 3: Warped,PS,1998,Naughty Dog,Platform,E,43.93
Mario Kart 8,WiiU,2014,Nintendo,Racing,E,59.26
Super Smash Bros. Melee,GC,2001,HAL Labs,Fighting,T,17.28
