3DS,2011,Nintendo,Super Street Fighter IV: 3D Edition,Flying Axe,1
DC,1998,SEGA,Godzilla Generations,Karous,0
DS,2004,Nintendo,Super Mario 64 DS,Big Hero 6 Battle In The Bay,1
GBA,2001,Nintendo,Super Mario Advance,Pixeline i Pixieland,1
GC,2001,Nintendo,Luigi's Mansion,Madden NFL 08,0
PC,1962,Digital,Spacewar!,NULL,0
PS,1994,Sony Computer Entertainment,TAMA,Schnappi: 3 Fun-Games,0
PS2,2000,Sony Computer Entertainment,Kessen,Pro Evolution Soccer 2014,0
PS3,2006,Sony Computer Entertainment,Sega Golf Club,FIFA 18,0
PS4,2013,Sony Computer Entertainment,Fifa 14,NULL,0
PSP,2004,Sony Computer Entertainment,Lumines,StreetKix: Freestyle,1
PSV,2011,Sony Computer Entertainment,Michael Jackson: The Experience HD,ScourgeBringer,1
Wii,2006,Nintendo,Wii Sports,Just Dance 2020,0
WiiU,2012,Nintendo,ZombiU,The Legend of Zelda: Breath of the Wild,0
X360,2005,Microsoft,Call of Duty 2,Just Dance 2019,0
XB,2001,Microsoft,Halo: Combat Evolved,Madden NFL 09,0
XOne,2013,Microsoft,Dead Rising 3,NULL,0
