1,Wii Sports,Wii,N4G,6,The gameplay and art was amazing. However the story lacked impact and left the player feeling empty inside.,1904-11-06
2,Mario Kart Wii,Wii,RockPaperShotgun,1,This was immensely disappointed. It failed to meet even the most basic of expectations.,1903-07-05
3,Wii Sports Resort,Wii,Metacritic,4,This game requires heavy QA. Needs more work.,2008-02-11
4,New Super Mario Bros.,DS,Easy Allies,8,Wonderful experience! The art music gameplay and story compliment each other amazingly. However its lack of many modern quality of life features cause a somewhat clunky experience.,1908-04-22
5,Wii Play,Wii,Critical Drinker,6,The gameplay and art was amazing. However the story lacked impact and left the player feeling empty inside.,2016-01-29
6,New Super Mario Bros. Wii,Wii,GameSpot,2,Terrible experience hardly even worth playing ironically.,1951-11-11
7,Mario Kart DS,DS,Polygon,2,Terrible experience hardly even worth playing ironically.,1941-11-22
8,Wii Fit,Wii,Polygon,5,Very basic game that is both uninspired and quickly forgotten,1959-04-01
9,Kinect Adventures!,X360,PC Gamer,9,Amazing! This game uses masterful story telling in conjunction with beautiful graphics to leave the player more than fulfilled.,1930-09-08
10,Wii Fit Plus,Wii,Mr Sunday Movies,4,This game requires heavy QA. Needs more work.,1963-07-08
11,Grand Theft Auto V,PS3,PC World,10,What a perfect experience! The game is not only simple and fun but inspires players to play through multiple times.,1925-05-12
12,Grand Theft Auto: San Andreas,PS2,Outside Xbox,1,This was immensely disappointed. It failed to meet even the most basic of expectations.,1923-06-09
13,Brain Age: Train Your Brain in Minutes a Day,DS,The Completionist,6,The gameplay and art was amazing. However the story lacked impact and left the player feeling empty inside.,1984-04-08
14,Grand Theft Auto V,X360,Outside Xbox,2,Terrible experience hardly even worth playing ironically.,1900-11-12
15,Grand Theft Auto: Vice City,PS2,Metacritic,7,Great game! While not an experience worth playing twice it leaves the player with a satisfying experience,1925-03-05
16,Brain Age 2: More Training in Minutes a Day,DS,Metacritic,1,This was immensely disappointed. It failed to meet even the most basic of expectations.,1942-09-27
17,Gran Turismo 3: A-Spec,PS2,GameSpot,1,This was immensely disappointed. It failed to meet even the most basic of expectations.,1916-11-17
18,Call of Duty: Modern Warfare 3,X360,AngryJoeShow,7,Great game! While not an experience worth playing twice it leaves the player with a satisfying experience,2004-10-02
19,Call of Duty: Black Ops,X360,Eurogamer,9,Amazing! This game uses masterful story telling in conjunction with beautiful graphics to leave the player more than fulfilled.,1903-06-26
20,Call of Duty: Black Ops II,PS3,GameSpot,6,The gameplay and art was amazing. However the story lacked impact and left the player feeling empty inside.,2014-10-24
21,Call of Duty: Black Ops II,X360,Gaming Target,1,This was immensely disappointed. It failed to meet even the most basic of expectations.,2012-08-07
22,Call of Duty: Modern Warfare 2,X360,Polygon,4,This game requires heavy QA. Needs more work.,1902-02-05
23,Call of Duty: Modern Warfare 3,PS3,Kotaku,4,This game requires heavy QA. Needs more work.,1999-09-08
24,Grand Theft Auto III,PS2,Mr Sunday Movies,6,The gameplay and art was amazing. However the story lacked impact and left the player feeling empty inside.,1951-03-18
25,Super Smash Bros. Brawl,Wii,Kotaku,1,This was immensely disappointed. It failed to meet even the most basic of expectations.,2004-10-08
26,Mario Kart 7,3DS,Channel Awesome,8,Wonderful experience! The art music gameplay and story compliment each other amazingly. However its lack of many modern quality of life features cause a somewhat clunky experience.,1934-11-10
27,Call of Duty: Black Ops,PS3,BrutalMoose,4,This game requires heavy QA. Needs more work.,1976-02-13
28,Grand Theft Auto V,PS4,The Completionist,8,Wonderful experience! The art music gameplay and story compliment each other amazingly. However its lack of many modern quality of life features cause a somewhat clunky experience.,1982-02-06
29,Animal Crossing: Wild World,DS,Critical Drinker,2,Terrible experience hardly even worth playing ironically.,1956-09-17
30,Halo 3,X360,BrutalMoose,3,While the game is rather bad it is a good laugh with friends.,1958-08-16
31,Gran Turismo 4,PS2,Destructoid,1,This was immensely disappointed. It failed to meet even the most basic of expectations.,1905-01-25
32,Super Mario Galaxy,Wii,PC World,5,Very basic game that is both uninspired and quickly forgotten,1907-10-19
33,Grand Theft Auto IV,X360,PC World,5,Very basic game that is both uninspired and quickly forgotten,1961-03-14
34,Gran Turismo,PS,AngryJoeShow,3,While the game is rather bad it is a good laugh with friends.,2011-12-17
35,Super Mario 3D Land,3DS,VG247,2,Terrible experience hardly even worth playing ironically.,1900-05-08
36,Gran Turismo 5,PS3,Metacritic,8,Wonderful experience! The art music gameplay and story compliment each other amazingly. However its lack of many modern quality of life features cause a somewhat clunky experience.,1987-11-09
37,Call of Duty: Modern Warfare 2,PS3,GamesRadar,2,Terrible experience hardly even worth playing ironically.,1938-07-26
38,Grand Theft Auto IV,PS3,Metacritic,6,The gameplay and art was amazing. However the story lacked impact and left the player feeling empty inside.,1946-11-11
39,Call of Duty: Ghosts,X360,BrutalMoose,3,While the game is rather bad it is a good laugh with friends.,2019-07-29
40,Just Dance 3,Wii,AngryJoeShow,10,What a perfect experience! The game is not only simple and fun but inspires players to play through multiple times.,2008-01-01
41,New Super Mario Bros. 2,3DS,Polygon,10,What a perfect experience! The game is not only simple and fun but inspires players to play through multiple times.,1995-04-07
42,Halo: Reach,X360,Eurogamer,4,This game requires heavy QA. Needs more work.,1952-11-10
43,Final Fantasy VII,PS,Gameranx,5,Very basic game that is both uninspired and quickly forgotten,1964-07-02
44,Halo 4,X360,Gameranx,10,What a perfect experience! The game is not only simple and fun but inspires players to play through multiple times.,1979-04-13
45,Gran Turismo 2,PS,Nintendo Life,10,What a perfect experience! The game is not only simple and fun but inspires players to play through multiple times.,1965-03-05
46,Just Dance 2,Wii,Kotaku,2,Terrible experience hardly even worth playing ironically.,1999-08-10
47,Call of Duty: Ghosts,PS3,The Completionist,5,Very basic game that is both uninspired and quickly forgotten,1914-11-14
