Nintendo,Nintendo
Good Science Studio,Microsoft Game Studios
Rockstar North,Take-Two Interactive
Polyphony Digital,Sony Computer Entertainment
Infinity Ward/Sledgehammer Games,Activision
Treyarch,Activision
Infinity Ward,Activision
DMA Design,Take-Two Interactive
Game Arts,Nintendo
Retro Studios/Entertainment Analysis & Development Division,Nintendo
Bungie Software/Bungie,Microsoft Game Studios
Ubisoft,Ubisoft
Bungie,Microsoft Game Studios
SquareSoft,Sony Computer Entertainment
343 Industries,Microsoft Game Studios
Hudson Soft,Nintendo
Bethesda Game Studios,Bethesda Softworks
EA Sports,Electronic Arts
Bungie Software,Microsoft Game Studios
Nd Cube,Nintendo
Hudson,Nintendo
Electronic Arts,Electronic Arts
The Sims Studio,Electronic Arts
Game Freak,Nintendo
Rockstar Leeds,Take-Two Interactive
Sledgehammer Games,Activision
EA Sports/EA Vancouver,Electronic Arts
Nintendo EAD Tokyo,Nintendo
EA DICE,Electronic Arts
EA Black Box,Electronic Arts
Ubisoft Paris,Ubisoft
Namco,Sony Computer Entertainment
Naughty Dog,Sony Computer Entertainment
HAL Labs,Nintendo
EA Canada,Electronic Arts
EA LA,Electronic Arts
Epic Games,Microsoft Game Studios
Pipeworks Software/Inc.,505 Games
Rockstar San Diego,Take-Two Interactive
Retro Studios,Nintendo
Blizzard Entertainment,Activision
Reflections Interactive,GT Interactive
Rare Ltd.,Microsoft Game Studios
KCEJ,Konami Digital Entertainment
Kojima Productions,Konami Digital Entertainment
Square Enix,Square Enix
SCE/WWS/Media Molecule,Sony Computer Entertainment
Capcom,Virgin Interactive
Level 5,Nintendo
Traveller's Tales,LucasArts
Taito Corporation,505 Games
Ubisoft Montreal,Ubisoft
Turn 10,Microsoft Game Studios
Rocksteady Studios,Warner Bros. Interactive Entertainment
Intelligent Systems,Nintendo
Core Design Ltd.,Eidos Interactive
EA Tiburon,Electronic Arts
Harmonix Music Systems,RedOctane
Lionhead Studios,Microsoft Game Studios
Neversoft Entertainment,Activision
Neversoft Entertainment/BudCat,Activision
Naughty Dog/SCE/WWS,Sony Computer Entertainment
SCE Santa Monica,Sony Computer Entertainment
TT Fusion,LucasArts
Stormfront Studios,Electronic Arts
Bluepoint Games,Sony Computer Entertainment
Vicarious Visions,Activision
Next Level Games,Nintendo
Konami,Konami Digital Entertainment
Bethesda Softworks,Take-Two Interactive
Ubisoft Paris/Ubisoft Montpellier,Ubisoft
High Moon Studios,Activision
Insomniac Games,Sony Computer Entertainment
Mass Media,Namco Bandai Games
Ready at Dawn,Sony Computer Entertainment
SCEE/Zoe Mode,Sony Computer Entertainment
Valve Software,Vivendi Games
Obsidian Entertainment,Bethesda Softworks
Cat Daddy Games,Take-Two Interactive
Digital Eclipse,Namco Bandai Games
CD Projekt Red Studio,Namco Bandai Games
Ubisoft/Ubisoft Montreal,Ubisoft
Visual Concepts,Take-Two Interactive
Evolution Studios,Sony Computer Entertainment
KCET,Konami Digital Entertainment
SCEA/Zindagi Games,Sony Computer Entertainment
Nintendo/Namco Bandai Games,Nintendo
Massive Entertainment,Ubisoft
Maxis,Electronic Arts
Argonaut Games,Electronic Arts
TOSE,Electronic Arts
Zipper Interactive,Sony Computer Entertainment
Pandemic Studios,LucasArts
Fox Interactive,Electronic Arts
Office Create,505 Games
Team Soho,Sony Computer Entertainment
EA Redwood Shores,Electronic Arts
Certain Affinity,Electronic Arts
Agenda,Nintendo
Gearbox Software,Take-Two Interactive
Kojima Productions/Moby Dick Studio,Konami Digital Entertainment
Media Molecule,Sony Computer Entertainment
Eurocom Entertainment Software,Sony Computer Entertainment
Ubisoft Quebec,Ubisoft
Double Helix Games,LucasArts
Rockstar Toronto,Take-Two Interactive
EA Games,Electronic Arts
Splash Damage/The Coalition,Microsoft Game Studios
Luxoflux/Inc.,Activision
Shiny Entertainment,Atari
Team Bondi,Take-Two Interactive
1st Playable Productions,Disney Interactive Studios
Dimps Corporation/Sonic Team,Sega
Indies Zero,Nintendo
4J Studios,Ubisoft
BioWare,Electronic Arts
Dimps Corporation,Atari
Quantic Dream,Sony Computer Entertainment
Volition Inc.,THQ
Guerrilla,Sony Computer Entertainment
Junction Point,Disney Interactive Studios
Spike/Namco Bandai Games,Atari
LucasArts/BioWare,Electronic Arts
Monolith Productions,Warner Bros. Interactive Entertainment
Sonic Team,Sega
Io Interactive,Eidos Interactive
Respawn Entertainment,Electronic Arts
Sucker Punch,Sony Computer Entertainment
Sumo Digital,Sega
Clap Hanz,Sony Computer Entertainment
OfficeCreate,505 Games
Spark Unlimited,Activision
NetherRealm Studios,Warner Bros. Interactive Entertainment
Irrational Games/2K Marin,Take-Two Interactive
Majesco Games/Majesco,Majesco Entertainment
EA DICE/Danger Close,Electronic Arts
Virtual Toys,Ubisoft
NuFX,Electronic Arts
Criterion Games,Electronic Arts
Toys for Bob,Activision
Warner Bros. Interactive Entertainment/NetherRealm Studios,Warner Bros. Interactive Entertainment
Edge of Reality,Electronic Arts
LucasArts,LucasArts
Artoon,Nintendo
Namco Bandai Games,Namco Bandai Games
Dreamworks Interactive,Electronic Arts
Big Blue Box,Microsoft Game Studios
DC Studios,Disney Interactive Studios
Ubisoft Shanghai,Ubisoft
Slightly Mad Studios,Electronic Arts
Team Fusion,Electronic Arts
Angel Studios,Take-Two Interactive
Ensemble Studios,Microsoft Game Studios
Dice/Danger Close,Electronic Arts
syn Sophia,Nintendo
Yuke's,THQ
Genius Sonority Inc.,Nintendo
Acclaim Studios Cheltenham,Acclaim Entertainment
Headstrong Games,Nintendo
CAProduction,Konami Digital Entertainment
Raven Software,Activision
Midway,Midway Games
From Software,Sony Computer Entertainment
Black Rock Studio,Disney Interactive Studios
Cyan Worlds,Red Orb
THQ,THQ
Rainbow Studios,Sony Computer Entertainment
Black Box,Electronic Arts
Bullfrog Productions,Electronic Arts
Konami Computer Entertainment Hawaii,Konami Digital Entertainment
Techland,Deep Silver
Heavy Iron Studios,THQ
Frontier Developments,Microsoft Game Studios
GREZZO,Nintendo
Rare Ltd./BigPark,Microsoft Game Studios
ArenaNet,NCSoft
WB Games Montreal,Warner Bros. Interactive Entertainment
HAL Labs/Creatures Inc.,Nintendo
Backbone Entertainment,Sega
Sega,Sega
Exakt,Activision
TT Games,Warner Bros. Interactive Entertainment
2K Marin,Take-Two Interactive
5TH Cell,Warner Bros. Interactive Entertainment
Beenox,Activision
Amaze Entertainment,Activision
Bizarre Creations,Microsoft Game Studios
Omega Force,Tecmo Koei
Visceral Games,Electronic Arts
Blue Planet Software,THQ
Matrix Software,Square Enix
Full Fat,Electronic Arts
Helixe,THQ
EA Vancouver,Electronic Arts
Ubisoft Montpellier,Ubisoft
ChunSoft,Nintendo
Midway Studios - San Diego,Midway Games
Acquire,Activision
h.a.n.d. Inc.,Square Enix
Ghost Games,Electronic Arts
Check Six Games,Universal Interactive
PLAYGROUND/Playground Games,Microsoft Game Studios
Aki Corp.,Electronic Arts
